,county,land_area,biome,tc_goal,treecanopy,tc_gap,priority_i,pctpocnorm,pctpovnorm,unemplnorm,dep_perc,depratnorm,health_nor,temp_norm,tes,tesctyscor,rank,rankgrpsz,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
654,Bexar County,0.299,Grassland,0.3,0.2517,0.0483,0.559222708667088,0.859723698193411,0.633156641021888,0.270300210479672,0.526036131774708,0.554932735426009,0.77227827062924,0.481340622771571,89,79.0,401,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
655,Bexar County,0.8699,Grassland,0.3,0.3445,0.0,0.554651553501476,0.998084291187739,0.897637674841887,0.085842949620039,0.436781609195402,0.387755102040816,0.77227827062924,0.394580461136202,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
656,Bexar County,4.6286,Grassland,0.3,0.2516,0.0484,0.553209896819644,0.839724256785868,0.728710609801509,0.137897391966495,0.524773804394657,0.552130553037171,0.723557323178845,0.422866650820062,89,79.0,401,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
657,Bexar County,0.7816,Grassland,0.3,0.125,0.175,0.525426115486812,1.0,0.386638588686771,0.241632006337889,0.265692175408426,0.180913348946136,0.723557323178845,0.656049441407179,64,79.0,834,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
658,Bexar County,3.5194,Grassland,0.3,0.1009,0.1991,0.551823855080395,0.955939765755717,0.679974128708562,0.037777015568132,0.456218627997769,0.41948717948718,0.723557323178845,0.577371048252912,57,79.0,902,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
659,Bexar County,3.1819,Grassland,0.3,0.223,0.077,0.603840842336412,0.885514834205934,0.688020089794854,0.318205529473135,0.37347294938918,0.298050139275766,0.827610570612731,0.720703589256002,82,79.0,508,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
660,Bexar County,0.3924,Grassland,0.3,0.2087,0.0913,0.611498537906591,0.934240362811791,0.52835824948742,0.039087530437011,0.598639455782313,0.745762711864407,0.827610570612731,0.722605181839791,78,79.0,580,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
661,Bexar County,0.4038,Grassland,0.3,0.2026,0.0974,0.537623021613283,0.973474801061008,0.429655278302811,0.041904649747787,0.392572944297082,0.323144104803493,0.827610570612731,0.627287853577371,79,79.0,566,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
662,Bexar County,1.5816,Grassland,0.3,0.4478,0.0,0.563989776439552,0.915275994865212,0.78319356152906,0.09936269419502,0.467265725288832,0.43855421686747,0.827610570612731,0.364154979795579,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
663,Bexar County,0.2779,Grassland,0.3,0.2602,0.0398,0.550938004316294,0.949458483754513,0.599522975709231,0.054937985692965,0.46028880866426,0.426421404682274,0.689938016938585,0.546707867839315,91,79.0,380,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
